index,hengsheng,prodiction_ratio,expectation
101.87,1465.53,95.85,97.97355812
102.19,1450.2,97.41,98.06033718
101.31,1395.34,96.63,97.71322094
100.45,1364.76,97.04,87.29973381
100.52,1534.82,97.23,83.65501331
101.16,1653.84,98.2,86.77905945
101.99,1822.06,98.5,90.59733807
102.03,1964.86,98.74,92.15936114
102.37,1951.81,98.74,92.15936114
102.4,2270.37,98.71,93.46104703
102.58,2295.12,97.94,93.80816327
102.69,2658.66,100.47,94.67595386
102.41,2660.11,96.3,94.24205856
102.53,2858.29,96.95,93.98172138
102.38,2625.69,97.34,94.06850044
102.33,2258.8,97.24,93.54782609
101.65,2398.13,97.57,90.25022183
101.08,2382.58,97.84,88.68819876
100.83,2398.63,98.7,89.90310559
100.87,2396.82,98.22,89.38243123
100.7,2550.17,99.31,90.07666371
100.75,2504.37,98.39,90.68411713
100.67,2766.62,98.01,91.8122449
100.97,2704.27,100.45,93.54782609
101.2,2665.4,97.68,93.98172138
101.48,2871.47,96.96,94.50239574
101.82,2712.06,97.51,95.37018634
102.23,2689.45,97.9,95.19662822
102.58,2684.66,97.59,95.37018634
102.59,2795.13,97.77,95.10984916
102.47,2985.13,98.65,95.10984916
102.41,2971.87,98.28,95.37018634
102.3,3107.88,98.31,95.28340728
102,2804.01,98.08,95.10984916
102.05,2990.04,97.81,95.19662822
102.22,3084.09,100.06,95.89086069
102.66,3528.75,98.03259901,95.80408163
102.88,3620.4,97.31,95.89086069
102.83,3749.68,97.33,96.67187223
102.53,3865.6,98.04,96.41153505
102.31,3682.42,97.75,96.23797693
102.04,3790.69,97.58,96.75865129
101.89,3860.23,98.29,96.58509317
101.98,3938.44,98.74,97.10576752
102.27,4067.73,98.37,98.58101154
102.5,4331,98.44,98.2338953
102.52,4804.68,97.72,98.66779059
103.02,5514.75,100.2,99.70913931
102.89,5330.73,97.51881188,99.10168589
102.61,5216.73,96.8,98.58101154
102.38,5381.26,97.8,97.3661047
102.95,5557.99,98.4,98.75456965
103.44,5915.93,98,99.10168589
103.82,6584.45,97.6,99.96947649
104.06,7280.6,98.42,99.18846495
104,7746.27,98.52,99.88269743
103.72,9128.21,98.2,99.53558119
103.38,10654.9,98.3,99.18846495
102.7,9318.92,98.06,98.66779059
101.9,8927.61,99.7,99.44880213
101.9,7063.14,98.52623762,98.58101154
102.5,7770.33,97.8,96.75865129
102.8,6853.09,98,97.10576752
102.49,7932.01,97.8,96.58509317
102.13,7651.27,98,96.93220941
101.7,6676.34,97.5,96.49831411
101.1,6776.99,98.1,96.84543035
100.1,6252.09,97.8,95.97763975
98.8,4889.77,97.6,95.54374445
97.5,3745.55,97.4,94.1552795
97.4,3907.43,97.03,90.77089618
97.9,4330.21,98.69,87.56007098
98.6,3952.49,98.02252475,86.86583851
99,3824.08,97.3,86.69228039
100,4361.14,96.9,85.91126886
101,4862.46,97.83,86.43194321
102,5690.23,97.34,87.03939663
102.6,5926.09,97.26,86.86583851
103.4,6551.44,97.94,87.7336291
104.2,6090.76,97.66,88.51464064
105,6359.4,97.73,88.68819876
105.8,6781,98.02,89.035315
105.4,6955.11,97.82,89.38243123
105.4,6983.72,99.33,90.25022183
105.3,6368.15,97.61955446,90.77089618
105.9,6487.79,96.9,90.68411713
105.2,6855.09,97.8,93.89494232
104.8,6821.62,98.4,92.68003549
103.8,6417.25,97.6,93.89494232
103.2,6471.87,97.5,94.50239574
102.9,6722.03,98.1,94.24205856
102.4,6542.23,98.2,93.63460515
102.5,7057.48,98,90.68411713
102.3,7326.09,97.8,90.33700089
102,7168.64,97.5,89.46921029
101.5,7133.94,98.9,87.29973381
101.2,7108.98,98.6269802,86.77905945
101.4,6983.64,97.9,86.43194321
101.7,7355.8,97.8,94.84951198
102,7436.99,98.4,93.28748891
101.9,7460.45,98.1,92.50647737
102.1,7108.16,97.6,96.67187223
101.9,7080.28,98.5,97.01898846
101.3,6420.63,98.2,95.80408163
100.6,5330.47,97.8,94.50239574
100.1,6123.79,97.8,92.2461402
100.3,5616.62,97.5,88.25430346
100.2,5757.09,98.8,91.3783496
100.9,6398.19,98.42549505,94.84951198
100.8,6788.87,97.7,96.23797693
100.5,6332.83,97.3,92.50647737
99.9,6564.79,98.1,94.1552795
99.6,5818.83,97.9,94.50239574
99.2,5851.49,97.2,89.55598935
99.3,5921.66,98.2,88.08074534
99.9,5736.11,98.4,89.98988465
100.4,6091.6,98.3,90.25022183
100.4,6430.12,98.1,94.84951198
100.4,6525.41,98,94.93629104
100.7,6850.65,99.5,93.37426797
100.8,7137.39,97.91971142,95.54374445
100.2,6845.23,97.1979445,98.32067436
99.99,6548.52,96.8,93.63460515
99.6,6642.11,98.5,93.80816327
99.8,6558.83,97.8,89.12209406
99.9,5977.56,97.5,87.21295475
99.95,6218.78,98.4,87.64685004
99.9,6361.72,98.3,88.1675244
99.6,6682.89,98,89.81632653
99.6,6838.94,97.9,93.28748891
99.5,7167.67,97.6,89.12209406
99.3,6919.68,99.1,92.68003549
99.3,6460.64,97.51881188,91.11801242
99.3,6644.68,96.8,92.85359361
99.8,6541.26,96.9,97.45288376
99.7,6406.03,97.9,93.20070985
99.9,6667.61,97.8,91.63868678
99.8,6793.19,97.5,94.50239574
100.2,7290.64,97.9,93.72138421
99.8,7302.14,98.2,92.85359361
99.9,6798.5,98,94.06850044
99.4,7090.9,97.9,93.02715173
99.2,7186.58,97.6,94.5891748
98.8,7256.74,98.7,94.67595386
98.8,7415.99,97.51881188,94.5891748
98.6,7645.65,96.8,98.06033718
98.54,7762.44,97.1,95.71730257
98.66,8945.36,97.7,96.23797693
98.74,8599.66,97.5,98.40745342
98.86,8058.2,97,93.72138421
98.39,7233.59,97.7,92.8362378
98.52,6429.99,97.9,92.68003549
98.28,6236.44,98,94.1552795
98.33,6811.53,97.7,92.33291925
98.12,6565.04,97.4,92.50647737
98.41,6486.44,98.6,91.8122449